exam_name,organization,year,tier,total_marks,General/UR,OBC,SC,ST,EWS,text
UPSC CSE,UPSC,2024,Mains,1750,830.0,812.15,735.97,701.53,826.88,"Category-wise Mains cut-off marks for UPSC CSE 2024:
Unreserved: 830.0, Other Backward Classes: 812.15, Scheduled Caste: 735.97, Scheduled Tribe: 701.53. Maximum marks: 1750."
SSC CGL,SSC,2022,Tier-II,400,293.14,316.92,222.86,217.1,287.99,"The cutoff for SSC CGL Tier-II (2022) has been declared. General category cutoff is 293.14/400, OBC cutoff is 316.92/400, SC cutoff is 222.86/400, ST cutoff is 217.1/400."
SBI PO,SBI,2025,Prelims,100,70.8,55.91,61.34,41.65,66.3,"SBI PO 2025
Prelims Qualifying Marks:
UR: 70.8 | OBC: 55.91 | SC: 61.34 | ST: 41.65 | EWS: 66.3
Total Marks: 100"
SSC CGL,SSC,2024,Final,700,521.09,535.98,424.17,434.28,514.8,"SSC CGL 2024 Final Cutoff Marks (Out of 700):
General: 521.09
OBC: 535.98
SC: 424.17
ST: 434.28
EWS: 514.8"
APPSC Group I,APPSC,2026,Prelims,150,90.41,81.4,77.51,69.44,86.97,"APPSC Group I 2026
Prelims Qualifying Marks:
UR: 90.41 | OBC: 81.4 | SC: 77.51 | ST: 69.44 | EWS: 86.97
Total Marks: 150"
IBPS PO,IBPS,2022,Prelims,100,55.07,52.93,53.21,50.98,48.87,"IBPS PO 2022 Prelims Cutoff Marks (Out of 100):
General: 55.07
OBC: 52.93
SC: 53.21
ST: 50.98
EWS: 48.87"
SSC CHSL,SSC,2023,Tier-I,200,168.26,156.92,137.21,117.41,160.38,"Category-wise Tier-I cut-off marks for SSC CHSL 2023:
Unreserved: 168.26, Other Backward Classes: 156.92, Scheduled Caste: 137.21, Scheduled Tribe: 117.41. Maximum marks: 200."
SSC CHSL,SSC,2024,Final,300,229.92,236.87,195.87,187.19,227.46,"Category-wise Final cut-off marks for SSC CHSL 2024:
Unreserved: 229.92, Other Backward Classes: 236.87, Scheduled Caste: 195.87, Scheduled Tribe: 187.19. Maximum marks: 300."
IBPS PO,IBPS,2024,Prelims,100,56.72,52.98,48.66,44.54,49.14,"IBPS PO 2024
Prelims Qualifying Marks:
UR: 56.72 | OBC: 52.98 | SC: 48.66 | ST: 44.54 | EWS: 49.14
Total Marks: 100"
TSPSC Group I,TSPSC,2022,Mains,900,508.91,543.84,474.53,429.13,501.22,"The cutoff for TSPSC Group I Mains (2022) has been declared. General category cutoff is 508.91/900, OBC cutoff is 543.84/900, SC cutoff is 474.53/900, ST cutoff is 429.13/900."
TSPSC Group I,TSPSC,2025,Final,1050,697.54,603.72,545.24,524.3,695.54,"TSPSC Group I 2025
Final Qualifying Marks:
UR: 697.54 | OBC: 603.72 | SC: 545.24 | ST: 524.3 | EWS: 695.54
Total Marks: 1050"
TSPSC Group I,TSPSC,2025,Mains,900,483.31,500.16,474.59,369.91,477.53,"TSPSC Group I 2025
Mains Qualifying Marks:
UR: 483.31 | OBC: 500.16 | SC: 474.59 | ST: 369.91 | EWS: 477.53
Total Marks: 900"
SSC CHSL,SSC,2024,Tier-I,200,143.43,139.49,134.52,118.17,141.19,"SSC CHSL 2024
Tier-I Qualifying Marks:
UR: 143.43 | OBC: 139.49 | SC: 134.52 | ST: 118.17 | EWS: 141.19
Total Marks: 200"
