text,entities_extracted,organization,exam_name,vacancies
"Notification: LIC ADO Recruitment 2026
Issued by: Indian Oil Corporation Limited
Total posts to be filled: 2
Post name: Gramin Dak Sevak
Required qualification: M.Sc. in relevant subject with NET/SLET qualification
Age criteria: 18-25 years
Exam fee: No fee
Pay after selection: ₹21,700-₹69,100 (7th CPC)
Important dates - 
  Apply from: 25.10.2026
  Apply till: 21-09-2027
  Exam on: 23/08/2027
Experience criteria: 3 years of experience in relevant field","VACANCY_COUNT:2; POST_NAME:Gramin Dak Sevak; QUALIFICATION:M.Sc. in relevant subject with NET/SLET qualification; AGE_LIMIT:18-25 years; APPLICATION_FEE:No fee; PAY_SCALE:₹21,700-₹69,100 (7th CPC); START_DATE:25.10.2026; LAST_DATE:21-09-2027; EXAM_DATE:23/08/2027; EXPERIENCE:3 years of experience in relevant field",IOCL,LIC ADO Recruitment 2026,2
"RECRUITMENT NOTIFICATION
Advertisement No. 20/2025
Organization: Employees State Insurance Corporation
Name of Post: Scientist B
No. of Vacancies: 1000
Qualification Required: Matriculation (10th pass) from recognized board
Maximum Age: 25-40 years
Fee: Nil
Salary/Pay: ₹50,000-₹60,000 per month
Opening Date: 03 July 2026
Closing Date: 03.06.2027
Exam Date: 26th October 2026
Work Experience: No experience required","POST_NAME:Scientist B; VACANCY_COUNT:1000; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:25-40 years; APPLICATION_FEE:Nil; PAY_SCALE:₹50,000-₹60,000 per month; START_DATE:03 July 2026; LAST_DATE:03.06.2027; EXAM_DATE:26th October 2026; EXPERIENCE:No experience required",ESIC,CDAC Research Engineer Walk-in 2026,1000
"Notification: TSPSC Forest Range Officer Recruitment 2026
Issued by: Bharat Electronics Limited
Total posts to be filled: 250
Post name: Graduate Engineer Trainee (GET)
Required qualification: Intermediate (10+2) with typing speed 35 WPM
Age criteria: 20-28 years
Exam fee: No fee
Pay after selection: Level-3: ₹21,700-69,100
Important dates - 
  Apply from: 07/11/2026
  Apply till: 13 September 2027
  Exam on: 12 September 2026
Experience criteria: 2 years of experience in relevant field","VACANCY_COUNT:250; POST_NAME:Graduate Engineer Trainee (GET); QUALIFICATION:Intermediate (10+2) with typing speed 35 WPM; AGE_LIMIT:20-28 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-3: ₹21,700-69,100; START_DATE:07/11/2026; LAST_DATE:13 September 2027; EXAM_DATE:12 September 2026; EXPERIENCE:2 years of experience in relevant field",BEL,TSPSC Forest Range Officer Recruitment 2026,250
"RECRUITMENT NOTIFICATION
Advertisement No. 13/2026
Organization: National Informatics Centre
Name of Post: Software Developer
No. of Vacancies: 25
Qualification Required: Bachelor Degree in any discipline from recognized university
Maximum Age: 18-32 years
Fee: ₹1000
Salary/Pay: ₹25,000 consolidated per month
Opening Date: 09/01/2026
Closing Date: 12 September 2027
Exam Date: 21/01/2026
Work Experience: 3 years of experience in relevant field","POST_NAME:Software Developer; VACANCY_COUNT:25; QUALIFICATION:Bachelor Degree in any discipline from recognized university; AGE_LIMIT:18-32 years; APPLICATION_FEE:₹1000; PAY_SCALE:₹25,000 consolidated per month; START_DATE:09/01/2026; LAST_DATE:12 September 2027; EXAM_DATE:21/01/2026; EXPERIENCE:3 years of experience in relevant field",NIC,Multi Tasking Staff (MTS) Examination 2026,25
"Applications are invited for 75 positions of Degree College Lecturer in Staff Selection Commission (SSC). Essential qualification is Matriculation (10th pass) from recognized board. Upper age limit is 18-27 years as on closing date. Selection will be through written examination. Examination fee: ₹200. Remuneration: Level-4: ₹25,500-81,100. Online registration opens: 01-03-2026. Last date for submission: 11-Jan-2027. Written test date: 12/03/2027. Desired experience: 2 years of experience in relevant field.","VACANCY_COUNT:75; POST_NAME:Degree College Lecturer; ORGANIZATION:SSC; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:18-27 years; APPLICATION_FEE:₹200; PAY_SCALE:Level-4: ₹25,500-81,100; START_DATE:01-03-2026; LAST_DATE:11-Jan-2027; EXAM_DATE:12/03/2027; EXPERIENCE:2 years of experience in relevant field",SSC,AIIMS Nursing Officer Recruitment 2026,75
"Applications are invited for 15 positions of Sorting Assistant in Kendriya Vidyalaya Sangathan (KVS). Essential qualification is 10+2 pass with Science stream from recognized board. Upper age limit is 17.5-21 years as on closing date. Selection will be through written examination. Examination fee: ₹2000. Remuneration: Level-2: ₹19,900-63,200. Online registration opens: 28th July 2026. Last date for submission: 15-12-2027. Written test date: 1 February, 2027. Desired experience: 1 years of experience in relevant field.","VACANCY_COUNT:15; POST_NAME:Sorting Assistant; ORGANIZATION:KVS; QUALIFICATION:10+2 pass with Science stream from recognized board; AGE_LIMIT:17.5-21 years; APPLICATION_FEE:₹2000; PAY_SCALE:Level-2: ₹19,900-63,200; START_DATE:28th July 2026; LAST_DATE:15-12-2027; EXAM_DATE:1 February, 2027; EXPERIENCE:1 years of experience in relevant field",KVS,LIC AAO Recruitment 2026,15
"The AAI invites online applications from eligible candidates for direct recruitment to 14000 posts of Software Developer in Airports Authority of India. Candidates should possess MBA/PGDM from recognized institute. The age of the candidate should be between 23-35 years. Application fee is ₹2000. The pay scale for the post is Level-10: ₹56,100-1,77,500. Interested candidates may apply online from 19th April 2026 to 7 April, 2027. The computer based test is tentatively scheduled on 17/11/2027. Required experience: No experience required.","ORGANIZATION:AAI; VACANCY_COUNT:14000; POST_NAME:Software Developer; QUALIFICATION:MBA/PGDM from recognized institute; AGE_LIMIT:23-35 years; APPLICATION_FEE:₹2000; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:19th April 2026; LAST_DATE:7 April, 2027; EXAM_DATE:17/11/2027; EXPERIENCE:No experience required",AAI,Civil Services Examination (CSE) 2026,14000
"RECRUITMENT NOTIFICATION
Advertisement No. 11/2024
Organization: National Testing Agency
Name of Post: Probationary Officer
No. of Vacancies: 30
Qualification Required: Matriculation (10th pass) from recognized board
Maximum Age: 18-27 years
Fee: ₹200
Salary/Pay: Level-11: ₹67,700-2,08,700
Opening Date: 11 September 2026
Closing Date: 21 September 2026
Exam Date: 27nd December 2027
Work Experience: 3 years of experience in relevant field","POST_NAME:Probationary Officer; VACANCY_COUNT:30; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:18-27 years; APPLICATION_FEE:₹200; PAY_SCALE:Level-11: ₹67,700-2,08,700; START_DATE:11 September 2026; LAST_DATE:21 September 2026; EXAM_DATE:27nd December 2027; EXPERIENCE:3 years of experience in relevant field",NTA,Combined Defence Services Examination (CDS) 2026,30
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Hindustan Aeronautics Limited (HAL)

Post: Clerk
Number of Posts: 20 nos.
Qualification: B.Com/M.Com with CA/ICWA qualification
Age: Not exceeding 18-35 years
Consolidated Pay: Level-3: ₹21,700-69,100
No application fee required.
Registration Date: 22 February 2026
Walk-in Date: 17-Jun-2026
Experience: 5 years of experience in relevant field","ORGANIZATION:HAL; POST_NAME:Clerk; VACANCY_COUNT:20; QUALIFICATION:B.Com/M.Com with CA/ICWA qualification; AGE_LIMIT:18-35 years; PAY_SCALE:Level-3: ₹21,700-69,100; START_DATE:22 February 2026; LAST_DATE:17-Jun-2026; EXPERIENCE:5 years of experience in relevant field",HAL,RRB NTPC Recruitment 2026,20
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
State Bank of India (SBI)

Post: Junior Engineer (Civil/Mechanical/Electrical/IT)
Number of Posts: 3000 nos.
Qualification: Graduate with minimum 60% marks from recognized university
Age: Not exceeding 18-30 years
Consolidated Pay: ₹50,000-₹60,000 per month
No application fee required.
Registration Date: 20/05/2026
Walk-in Date: 26/11/2026
Experience: 3 years of experience in relevant field","ORGANIZATION:SBI; POST_NAME:Junior Engineer (Civil/Mechanical/Electrical/IT); VACANCY_COUNT:3000; QUALIFICATION:Graduate with minimum 60% marks from recognized university; AGE_LIMIT:18-30 years; PAY_SCALE:₹50,000-₹60,000 per month; START_DATE:20/05/2026; LAST_DATE:26/11/2026; EXPERIENCE:3 years of experience in relevant field",SBI,BEL Trainee Engineer Recruitment 2026,3000
